NAME,SYMBOL,SLUG,N MARKET PAIRS,DATE ADDED,TAGS,MAX SUPPLY,CIRC SUPPLY,TOTAL SUPPLY,CMC RANK,LAST UPDATED,EXCH CUR,PRICE,VOLUME 24h,% CHANGE 1h,% CHANGE 24h,% CHANGE 7d,% CHANGE 30d,% CHANGE 60d,% CHANGE 90d,MARKET CAP
Bitcoin,BTC,bitcoin,9538,2013-04-28T00:00:00.000Z,"mineable,pow,sha-256,store-of-value,state-channels,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,arrington-xrp-capital,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures,galaxy-digital-portfolio,huobi-capital,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-xzy-screener",21000000,18706887,18706887,1,2021-05-11T12:52:02.000Z,GBP,39066.8924,51437323892,-0.35573598,-4.85824155,-3.97679102,-7.48552925,-2.07392903,21.59619501,7.3082E+11
Ethereum,ETH,ethereum,5467,2015-08-07T00:00:00.000Z,"mineable,pow,smart-contracts,ethereum,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,arrington-xrp-capital,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures,hashkey-capital-portfolio,kinetic-capital,huobi-capital,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-xzy-screener",,115829532.3,115829532.3,2,2021-05-11T12:52:02.000Z,GBP,2797.668649,45203553650,-0.94397266,-4.51395394,11.32303259,84.45382026,123.1685325,127.8023364,3.24053E+11
Binance Coin,BNB,binance-coin,593,2017-07-25T00:00:00.000Z,"marketplace,centralized-exchange,payments,binance-smart-chain,alameda-research-portfolio,multicoin-capital-portfolio",170532785,153432897,169432897,3,2021-05-11T12:51:10.000Z,GBP,461.5901128,3881700810,-0.83847087,-2.28787802,-2.07990228,37.85230177,136.5755555,421.3027923,70823108241
Dogecoin,DOGE,dogecoin,355,2013-12-15T00:00:00.000Z,"mineable,pow,scrypt,medium-of-exchange,memes,payments",,1.29559E+11,1.29559E+11,4,2021-05-11T12:52:03.000Z,GBP,0.345545361,13657836825,-2.10043961,-4.36670596,-10.02357649,572.9873564,783.3503858,599.1700579,44768525411
Tether,USDT,tether,12692,2015-02-25T00:00:00.000Z,"store-of-value,payments,stablecoin,stablecoin-asset-backed,solana-ecosystem",,56517925145,58446291004,5,2021-05-11T12:51:10.000Z,GBP,0.706838798,1.43997E+11,-0.08332472,-0.45024109,-2.37414782,0.05759924,0.02722281,-0.11714046,39949062296
Cardano,ADA,cardano,260,2017-10-01T00:00:00.000Z,"mineable,dpos,pos,platform,research,smart-contracts,staking,binance-chain",45000000000,31948309441,45000000000,6,2021-05-11T12:52:07.000Z,GBP,1.208347754,4685440622,-1.31253023,-2.19450874,24.55190316,34.80000304,59.40876707,107.5426544,38604667959
XRP,XRP,xrp,673,2013-08-04T00:00:00.000Z,"medium-of-exchange,enterprise-solutions,binance-chain,arrington-xrp-capital,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio",1E+11,35108326973,99997364318,7,2021-05-11T12:52:03.000Z,GBP,0.996403765,7852491717,-1.37641516,-9.91017673,-5.67293511,4.2763544,214.7345245,193.5393401,34982069184
Internet Computer,ICP,internet-computer,21,2021-03-23T00:00:00.000Z,"platform,distributed-computing,polychain-capital-portfolio,exnetwork-capital-portfolio",,123747067.8,469213710,8,2021-05-11T12:51:08.000Z,GBP,271.5824218,1245474256,-5.70981018,-0.46038466,-2.39343022,,,,33607528370
Polkadot,DOT,polkadot-new,192,2020-08-19T00:00:00.000Z,"substrate,polkadot,binance-chain,polkadot-ecosystem,three-arrows-capital-portfolio,polychain-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,coinfund-portfolio,fabric-ventures-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,kinetic-capital,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio",,937011917.6,1072536032,9,2021-05-11T12:52:06.000Z,GBP,26.04055074,2267633160,-0.53919893,-7.93216084,-2.38324519,-9.01367005,2.92594077,59.822264,24400306386
Bitcoin Cash,BCH,bitcoin-cash,589,2017-07-23T00:00:00.000Z,"mineable,pow,sha-256,marketplace,medium-of-exchange,store-of-value,enterprise-solutions,payments,binance-chain",21000000,18733900,18733900,10,2021-05-11T12:51:10.000Z,GBP,954.2864696,6254625005,-0.8374508,-8.22313061,29.33455456,96.04002429,152.4531174,173.2340514,17877507293
